"Title","Gross Domestic Product at market prices: Current price: Seasonally adjusted £m"
"CDID","YBHA"
"Source dataset ID","PN2"
"PreUnit","£"
"Unit","m"
"Release date","15-08-2024"
"Next release","30 September 2024"
"Important notes","Following a quality review it has been identified that the methodology used to estimate elements of purchased software within gross fixed capital formation (GFCF) has led to some double counting from 1997 onwards. When this issue is amended in The Blue Book 2017 it will reduce the level of GFCF across the period by around 1.1% per year. The average impact on quarter-on-quarter GFCF growth is negative 0.02% and the average impact on quarter-on-quarter GDP growth is 0.00%."
"1948","11429"
"1949","12172"
"1950","12742"
"1951","14305"
"1952","15536"
"1953","16682"
"1954","17597"
"1955","19169"
"1956","20844"
"1957","22104"
"1958","23220"
"1959","24388"
"1960","26201"
"1961","27918"
"1962","29235"
"1963","31099"
"1964","34047"
"1965","36828"
"1966","39394"
"1967","41673"
"1968","45795"
"1969","49761"
"1970","56041"
"1971","62870"
"1972","70578"
"1973","81793"
"1974","92673"
"1975","115093"
"1976","136999"
"1977","159786"
"1978","186158"
"1979","220981"
"1980","259970"
"1981","290180"
"1982","319558"
"1983","351347"
"1984","377920"
"1985","414630"
"1986","446600"
"1987","496809"
"1988","555683"
"1989","614631"
"1990","670797"
"1991","705884"
"1992","730874"
"1993","769855"
"1994","810794"
"1995","851845"
"1996","909993"
"1997","953405"
"1998","998501"
"1999","1043248"
"2000","1100752"
"2001","1146135"
"2002","1191439"
"2003","1258334"
"2004","1322637"
"2005","1398749"
"2006","1472038"
"2007","1544637"
"2008","1593600"
"2009","1548802"
"2010","1608553"
"2011","1662590"
"2012","1713715"
"2013","1781361"
"2014","1862514"
"2015","1916451"
"2016","1991645"
"2017","2082482"
"2018","2152304"
"2019","2233921"
"2020","2104288"
"2021","2284079"
"2022","2505981"
"2023","2687186"
"1955-Q1","4666"
"1955-Q2","4688"
"1955-Q3","4862"
"1955-Q4","4953"
"1956-Q1","5086"
"1956-Q2","5155"
"1956-Q3","5235"
"1956-Q4","5368"
"1957-Q1","5380"
"1957-Q2","5461"
"1957-Q3","5578"
"1957-Q4","5685"
"1958-Q1","5800"
"1958-Q2","5724"
"1958-Q3","5824"
"1958-Q4","5872"
"1959-Q1","5885"
"1959-Q2","6079"
"1959-Q3","6103"
"1959-Q4","6321"
"1960-Q1","6425"
"1960-Q2","6484"
"1960-Q3","6578"
"1960-Q4","6714"
"1961-Q1","6881"
"1961-Q2","6881"
"1961-Q3","7119"
"1961-Q4","7037"
"1962-Q1","7132"
"1962-Q2","7307"
"1962-Q3","7381"
"1962-Q4","7415"
"1963-Q1","7365"
"1963-Q2","7750"
"1963-Q3","7869"
"1963-Q4","8115"
"1964-Q1","8142"
"1964-Q2","8433"
"1964-Q3","8618"
"1964-Q4","8854"
"1965-Q1","9019"
"1965-Q2","9062"
"1965-Q3","9283"
"1965-Q4","9464"
"1966-Q1","9606"
"1966-Q2","9772"
"1966-Q3","9956"
"1966-Q4","10060"
"1967-Q1","10158"
"1967-Q2","10413"
"1967-Q3","10483"
"1967-Q4","10619"
"1968-Q1","11097"
"1968-Q2","11230"
"1968-Q3","11586"
"1968-Q4","11882"
"1969-Q1","12086"
"1969-Q2","12267"
"1969-Q3","12541"
"1969-Q4","12867"
"1970-Q1","13220"
"1970-Q2","13803"
"1970-Q3","14253"
"1970-Q4","14765"
"1971-Q1","14986"
"1971-Q2","15497"
"1971-Q3","15993"
"1971-Q4","16394"
"1972-Q1","16599"
"1972-Q2","17388"
"1972-Q3","17759"
"1972-Q4","18832"
"1973-Q1","20046"
"1973-Q2","19874"
"1973-Q3","20558"
"1973-Q4","21315"
"1974-Q1","21132"
"1974-Q2","22651"
"1974-Q3","23896"
"1974-Q4","24994"
"1975-Q1","26814"
"1975-Q2","28129"
"1975-Q3","29260"
"1975-Q4","30890"
"1976-Q1","32449"
"1976-Q2","33322"
"1976-Q3","34550"
"1976-Q4","36678"
"1977-Q1","38038"
"1977-Q2","39244"
"1977-Q3","40339"
"1977-Q4","42165"
"1978-Q1","44140"
"1978-Q2","45905"
"1978-Q3","47207"
"1978-Q4","48906"
"1979-Q1","50459"
"1979-Q2","53966"
"1979-Q3","56767"
"1979-Q4","59789"
"1980-Q1","62107"
"1980-Q2","63704"
"1980-Q3","66021"
"1980-Q4","68138"
"1981-Q1","69939"
"1981-Q2","71334"
"1981-Q3","73310"
"1981-Q4","75597"
"1982-Q1","77468"
"1982-Q2","78993"
"1982-Q3","80430"
"1982-Q4","82667"
"1983-Q1","85727"
"1983-Q2","86288"
"1983-Q3","88637"
"1983-Q4","90695"
"1984-Q1","91663"
"1984-Q2","93433"
"1984-Q3","94862"
"1984-Q4","97962"
"1985-Q1","99412"
"1985-Q2","103208"
"1985-Q3","105169"
"1985-Q4","106841"
"1986-Q1","108753"
"1986-Q2","110079"
"1986-Q3","111989"
"1986-Q4","115779"
"1987-Q1","118136"
"1987-Q2","121739"
"1987-Q3","127119"
"1987-Q4","129815"
"1988-Q1","133283"
"1988-Q2","136629"
"1988-Q3","140802"
"1988-Q4","144969"
"1989-Q1","148623"
"1989-Q2","151262"
"1989-Q3","155370"
"1989-Q4","159376"
"1990-Q1","163056"
"1990-Q2","166719"
"1990-Q3","170068"
"1990-Q4","170954"
"1991-Q1","173192"
"1991-Q2","175821"
"1991-Q3","177281"
"1991-Q4","179590"
"1992-Q1","181438"
"1992-Q2","181889"
"1992-Q3","182558"
"1992-Q4","184989"
"1993-Q1","189579"
"1993-Q2","189803"
"1993-Q3","193552"
"1993-Q4","196921"
"1994-Q1","199797"
"1994-Q2","200690"
"1994-Q3","203292"
"1994-Q4","207015"
"1995-Q1","208657"
"1995-Q2","210748"
"1995-Q3","214616"
"1995-Q4","217824"
"1996-Q1","221433"
"1996-Q2","226187"
"1996-Q3","229913"
"1996-Q4","232460"
"1997-Q1","232729"
"1997-Q2","235976"
"1997-Q3","243443"
"1997-Q4","241257"
"1998-Q1","245844"
"1998-Q2","248055"
"1998-Q3","250789"
"1998-Q4","253813"
"1999-Q1","255773"
"1999-Q2","258286"
"1999-Q3","261502"
"1999-Q4","267687"
"2000-Q1","272133"
"2000-Q2","273951"
"2000-Q3","276266"
"2000-Q4","278402"
"2001-Q1","282928"
"2001-Q2","286649"
"2001-Q3","288266"
"2001-Q4","288292"
"2002-Q1","292432"
"2002-Q2","295747"
"2002-Q3","299185"
"2002-Q4","304075"
"2003-Q1","307455"
"2003-Q2","313102"
"2003-Q3","317491"
"2003-Q4","320286"
"2004-Q1","322790"
"2004-Q2","329664"
"2004-Q3","331528"
"2004-Q4","338655"
"2005-Q1","341391"
"2005-Q2","348632"
"2005-Q3","351940"
"2005-Q4","356786"
"2006-Q1","361268"
"2006-Q2","367040"
"2006-Q3","370883"
"2006-Q4","372847"
"2007-Q1","377049"
"2007-Q2","386313"
"2007-Q3","389228"
"2007-Q4","392047"
"2008-Q1","397548"
"2008-Q2","400881"
"2008-Q3","399970"
"2008-Q4","395201"
"2009-Q1","386739"
"2009-Q2","386564"
"2009-Q3","388624"
"2009-Q4","386875"
"2010-Q1","396113"
"2010-Q2","401311"
"2010-Q3","404199"
"2010-Q4","406930"
"2011-Q1","414732"
"2011-Q2","412366"
"2011-Q3","416049"
"2011-Q4","419443"
"2012-Q1","424704"
"2012-Q2","425007"
"2012-Q3","430937"
"2012-Q4","433067"
"2013-Q1","438103"
"2013-Q2","442283"
"2013-Q3","448727"
"2013-Q4","452248"
"2014-Q1","457992"
"2014-Q2","461616"
"2014-Q3","470454"
"2014-Q4","472452"
"2015-Q1","474738"
"2015-Q2","476582"
"2015-Q3","479885"
"2015-Q4","485246"
"2016-Q1","489730"
"2016-Q2","493941"
"2016-Q3","500650"
"2016-Q4","507324"
"2017-Q1","513926"
"2017-Q2","517565"
"2017-Q3","521219"
"2017-Q4","529772"
"2018-Q1","531266"
"2018-Q2","535608"
"2018-Q3","540123"
"2018-Q4","545307"
"2019-Q1","549394"
"2019-Q2","555948"
"2019-Q3","562790"
"2019-Q4","565789"
"2020-Q1","556179"
"2020-Q2","475747"
"2020-Q3","533668"
"2020-Q4","538694"
"2021-Q1","538012"
"2021-Q2","567887"
"2021-Q3","581506"
"2021-Q4","596674"
"2022-Q1","608329"
"2022-Q2","621272"
"2022-Q3","630575"
"2022-Q4","645805"
"2023-Q1","657793"
"2023-Q2","673914"
"2023-Q3","678310"
"2023-Q4","677169"
"2024-Q1","688138"
"2024-Q2","694324"
